"EVENT","LEVEL","PLAYTIME_AVG","HINT_USED_SUM","RETRY_COUNT_SUM","SKIPPED_SUM","COUNT","COUNT %","USERS","EVENTS PER USER","ENGAGEMENT","TOTAL ACTIVE"
"level_completed","147","14.152934998249506","14","17633","5","17138","0.0015","17132","1","0.06509999999999999","263000"
"level_completed","148","8.948378362469828","37","21682","3","16989","0.0015","16985","1","0.0646","263000"
"level_completed","149","18.99580109171615","0","20464","5","16671","0.0014000000000000002","16668","1","0.0634","263000"
"level_completed","150","11.896094415379","0","23100","11","16438","0.0014000000000000002","16436","1","0.0625","263000"
"level_completed","151","14.387401379138973","0","25591","9","16097","0.0014000000000000002","16091","1","0.061200000000000004","263000"
"level_completed","152","10.446608040201012","6","16374","2","15920","0.0014000000000000002","15916","1","0.0605","263000"
"level_completed","153","7.616073128927821","7","16911","2","15753","0.0014000000000000002","15753","1","0.0599","263000"
"level_completed","154","7.134896233666411","3","15812","3","15612","0.0014000000000000002","15606","1","0.0593","263000"
"level_completed","156","7.413313685289597","2","15773","0","15608","0.0014000000000000002","15601","1","0.0593","263000"
"level_completed","155","7.7087795805810275","3","15765","1","15593","0.0014000000000000002","15592","1","0.0593","263000"
"level_completed","157","13.359831004224903","0","18439","8","15385","0.0013","15380","1","0.058499999999999996","263000"
"level_completed","158","12.751844046364594","0","21769","6","15184","0.0013","15178","1","0.057699999999999994","263000"
"level_completed","159","13.481028639776731","0","19512","3","15049","0.0013","15046","1","0.0572","263000"
"level_completed","160","12.931482735274203","0","22883","6","14770","0.0013","14762","1","0.056100000000000004","263000"
"level_completed","161","5.630674002751035","7","24015","6","14540","0.0013","14536","1","0.0553","263000"
"level_completed","162","8.526403789884354","80","26817","19","14354","0.0012","14351","1","0.0546","263000"
"level_completed","163","12.662385964912287","17","14521","6","14250","0.0012","14247","1","0.0542","263000"
"level_completed","164","10.610549388390012","7","14352","3","14143","0.0012","14142","1","0.0538","263000"
"level_completed","165","7.581154799858309","4","14563","3","14115","0.0012","14107","1","0.0536","263000"
"level_completed","166","15.157346175963196","0","14793","7","13912","0.0012","13907","1","0.0529","263000"
"level_completed","167","12.145689592563","0","17827","5","13769","0.0012","13769","1","0.0524","263000"
"level_completed","168","12.981879539285453","0","17591","3","13631","0.0012","13628","1","0.0518","263000"
"level_completed","169","13.694116768702402","0","18488","4","13394","0.0012","13389","1","0.0509","263000"
"level_completed","170","13.450627551791923","0","16351","2","13226","0.0011","13222","1","0.050300000000000004","263000"
"level_completed","171","8.769100951212026","11","13416","4","13036","0.0011","13030","1","0.0495","263000"
"level_completed","172","6.196385635616229","4","13069","0","12893","0.0011","12891","1","0.049","263000"
"level_completed","173","6.367704280155641","18","22934","6","12850","0.0011","12849","1","0.0489","263000"
"level_completed","174","9.566958698372966","6","12930","3","12784","0.0011","12780","1","0.048600000000000004","263000"
"level_completed","175","7.103708359522314","14","12875","2","12728","0.0011","12727","1","0.0484","263000"
"level_completed","176","14.578450055582021","0","13571","3","12594","0.0011","12593","1","0.0479","263000"
"level_completed","178","16.467213774237656","0","12608","3","12429","0.0011","12427","1","0.0473","263000"
"level_completed","177","20.357338268426144","0","15564","4","12428","0.0011","12427","1","0.0473","263000"
"level_completed","179","11.73470885663024","0","15937","2","12262","0.0011","12260","1","0.0466","263000"
"level_completed","180","11.558505326231689","0","20294","4","12016","0.001","12013","1","0.045700000000000005","263000"
"level_completed","181","9.832139546641944","19","12308","3","11867","0.001","11864","1","0.0451","263000"
"level_completed","182","14.076751946607342","22","11943","4","11687","0.001","11685","1","0.0444","263000"
"level_completed","183","16.036051502145927","22","12151","10","11650","0.001","11644","1","0.0443","263000"
"level_completed","184","8.448293691830404","3","11733","0","11604","0.001","11602","1","0.0441","263000"
"level_completed","185","12.51305325034578","8","11762","6","11568","0.001","11567","1","0.044000000000000004","263000"
"level_completed","186","15.113680323544925","0","13445","3","11374","0.001","11373","1","0.0432","263000"
"level_completed","187","15.281520778072498","0","11761","6","11310","0.001","11310","1","0.043","263000"
"level_completed","188","7.971678727776289","0","12816","1","11193","0.001","11191","1","0.0426","263000"
"level_completed","189","14.778076062639824","0","11849","3","11175","0.001","11172","1","0.0425","263000"
"level_completed","190","6.364731455484106","8","14802","1","11041","0.001","11039","1","0.042","263000"
"level_completed","191","13.819031903190314","24","11357","9","10908","0.0009","10901","1","0.0414","263000"
"level_completed","193","11.751212553495003","23","10833","8","10515","0.0009","10513","1","0.04","263000"
"level_completed","192","9.673065902578797","16","10973","6","10470","0.0009","10468","1","0.0398","263000"
"level_completed","194","5.575661982602046","2","10533","0","10461","0.0009","10458","1","0.0398","263000"
"level_completed","195","17.230582994383116","0","11974","3","10326","0.0009","10325","1","0.0393","263000"
"level_completed","196","13.365705911089405","0","11530","2","10235","0.0009","10230","1","0.038900000000000004","263000"
"level_completed","197","11.44054504460348","0","10774","0","10201","0.0009","10198","1","0.0388","263000"
"level_completed","198","13.90119553403814","0","11243","1","10121","0.0009","10118","1","0.0385","263000"
"level_completed","199","13.611138886111393","0","11832","1","10001","0.0009","10000","1","0.038","263000"
"level_completed","200","6.737573544329478","6","10081","2","9858","0.0009","9857","1","0.0375","263000"
"level_completed","201","10.588663386633863","24","17654","8","9756","0.0008","9751","1","0.0371","263000"
"level_completed","202","10.819761464116803","6","9875","2","9726","0.0008","9725","1","0.037000000000000005","263000"
"level_completed","203","7.574953348538254","2","9750","0","9646","0.0008","9642","1","0.036699999999999997","263000"
"level_completed","204","14.018516581232351","81","10439","35","9559","0.0008","9557","1","0.0363","263000"
"level_completed","205","12.818885941644567","0","14231","5","9425","0.0008","9422","1","0.0358","263000"
"level_completed","206","9.77020500160996","0","13496","4","9317","0.0008","9314","1","0.0354","263000"
"level_completed","207","11.376157785768768","0","15114","4","9177","0.0008","9175","1","0.0349","263000"
"level_completed","208","6.277643171806166","13","17787","3","9080","0.0008","9078","1","0.0345","263000"
"level_completed","209","6.936493838125905","2","9128","0","9007","0.0008","9005","1","0.0342","263000"
"level_completed","210","12.142761394101877","13","9437","0","8952","0.0008","8948","1","0.034","263000"
"level_completed","211","9.595326367823843","2","18740","2","8901","0.0008","8899","1","0.0338","263000"
"level_completed","212","12.797835156161915","14","9224","5","8869","0.0008","8867","1","0.0337","263000"
"level_completed","213","16.888567126143865","0","10910","1","8633","0.0007000000000000001","8630","1","0.032799999999999996","263000"
"level_completed","214","14.623031151557573","0","10915","2","8571","0.0007000000000000001","8571","1","0.0326","263000"
"level_completed","215","13.492588235294113","0","11897","4","8500","0.0007000000000000001","8495","1","0.0323","263000"
