"EVENT","LEVEL","COUNT","COUNT %","USERS","EVENTS PER USER","ENGAGEMENT","TOTAL ACTIVE"
"level_started","349","2709","0.0002","2709","1","0.0103","263000"
"level_started","353","2698","0.0002","2698","1","0.0103","263000"
"level_started","359","2681","0.0002","2681","1","0.0102","263000"
"level_started","356","2667","0.0002","2667","1","0.0101","263000"
"level_started","355","2664","0.0002","2661","1","0.0101","263000"
"level_started","358","2620","0.0002","2620","1","0.01","263000"
"level_started","357","2604","0.0002","2604","1","0.009899999999999999","263000"
"level_started","364","2582","0.0002","2582","1","0.0098","263000"
"level_started","360","2569","0.0002","2568","1","0.0098","263000"
"level_started","362","2534","0.0002","2533","1","0.0096","263000"
"level_started","361","2529","0.0002","2528","1","0.0096","263000"
"level_started","363","2523","0.0002","2523","1","0.0096","263000"
"level_started","365","2493","0.0002","2492","1","0.0095","263000"
"level_started","366","2493","0.0002","2493","1","0.0095","263000"
"level_started","367","2488","0.0002","2488","1","0.0095","263000"
"level_started","369","2480","0.0002","2479","1","0.009399999999999999","263000"
"level_started","373","2448","0.0002","2448","1","0.009300000000000001","263000"
"level_started","368","2436","0.0002","2435","1","0.009300000000000001","263000"
"level_started","370","2413","0.0002","2413","1","0.0092","263000"
"level_started","371","2382","0.0002","2382","1","0.0091","263000"
"level_started","372","2374","0.0002","2373","1","0.009000000000000001","263000"
"level_started","378","2374","0.0002","2373","1","0.009000000000000001","263000"
"level_started","374","2339","0.0002","2338","1","0.0089","263000"
"level_started","375","2335","0.0002","2335","1","0.0089","263000"
"level_started","382","2328","0.0002","2328","1","0.0089","263000"
"level_started","376","2322","0.0002","2321","1","0.0088","263000"
"level_started","377","2314","0.0002","2313","1","0.0088","263000"
"level_started","381","2297","0.0002","2294","1","0.0087","263000"
"level_started","379","2289","0.0002","2289","1","0.0087","263000"
"level_started","380","2274","0.0002","2274","1","0.0086","263000"
"level_started","384","2218","0.0002","2218","1","0.0084","263000"
"level_started","383","2194","0.0002","2194","1","0.0083","263000"
"level_started","387","2190","0.0002","2189","1","0.0083","263000"
"level_started","385","2121","0.0002","2120","1","0.008100000000000001","263000"
"level_started","388","2108","0.0002","2108","1","0.008","263000"
"level_started","386","2104","0.0002","2104","1","0.008","263000"
"level_started","392","2102","0.0002","2101","1","0.008","263000"
"level_started","390","2082","0.0002","2081","1","0.0079","263000"
"level_started","389","2059","0.0002","2059","1","0.0078000000000000005","263000"
"level_started","391","2039","0.0002","2038","1","0.0077","263000"
"level_started","397","2038","0.0002","2038","1","0.0077","263000"
"level_started","394","2026","0.0002","2026","1","0.0077","263000"
"level_started","400","1982","0.0002","1982","1","0.0075","263000"
"level_started","393","1974","0.0002","1973","1","0.0075","263000"
"level_started","395","1966","0.0002","1966","1","0.0075","263000"
"level_started","399","1957","0.0002","1956","1","0.0074","263000"
"level_started","396","1956","0.0002","1956","1","0.0074","263000"
"level_started","398","1946","0.0002","1946","1","0.0074","263000"
"level_started","405","1928","0.0002","1928","1","0.0073","263000"
"level_started","401","1897","0.0002","1897","1","0.0072","263000"
"level_started","404","1886","0.0002","1886","1","0.0072","263000"
"level_started","409","1884","0.0002","1884","1","0.0072","263000"
"level_started","402","1883","0.0002","1883","1","0.0072","263000"
"level_started","403","1876","0.0002","1876","1","0.0070999999999999995","263000"
"level_started","406","1865","0.0002","1865","1","0.0070999999999999995","263000"
"level_started","407","1841","0.0002","1841","1","0.006999999999999999","263000"
"level_started","414","1838","0.0002","1837","1","0.006999999999999999","263000"
"level_started","408","1830","0.0002","1830","1","0.006999999999999999","263000"
"level_started","410","1821","0.0002","1821","1","0.0069","263000"
"level_started","411","1816","0.0002","1816","1","0.0069","263000"
"level_started","412","1804","0.0002","1804","1","0.0069","263000"
"level_started","418","1782","0.0002","1782","1","0.0068000000000000005","263000"
"level_started","413","1782","0.0002","1782","1","0.0068000000000000005","263000"
"level_started","415","1767","0.0002","1767","1","0.0067","263000"
"level_started","416","1757","0.0002","1757","1","0.0067","263000"
"level_started","417","1744","0.0002","1744","1","0.0066","263000"
"level_started","423","1695","0.0002","1695","1","0.0064","263000"
"level_started","421","1688","0.0001","1687","1","0.0064","263000"
"level_started","419","1688","0.0001","1688","1","0.0064","263000"
"level_started","420","1673","0.0001","1673","1","0.0064","263000"
"level_started","422","1659","0.0001","1658","1","0.0063","263000"
"level_started","424","1647","0.0001","1647","1","0.0063","263000"
"level_started","429","1641","0.0001","1640","1","0.0062","263000"
"level_started","426","1633","0.0001","1633","1","0.0062","263000"
"level_started","425","1633","0.0001","1633","1","0.0062","263000"
"level_started","428","1608","0.0001","1606","1","0.0060999999999999995","263000"
"level_started","427","1607","0.0001","1607","1","0.0060999999999999995","263000"
"level_started","431","1566","0.0001","1566","1","0.006","263000"
"level_started","434","1551","0.0001","1551","1","0.0059","263000"
"level_started","430","1544","0.0001","1544","1","0.0059","263000"
"level_started","438","1530","0.0001","1530","1","0.0058","263000"
"level_started","437","1507","0.0001","1506","1","0.005699999999999999","263000"
"level_started","436","1507","0.0001","1506","1","0.005699999999999999","263000"
"level_started","432","1497","0.0001","1497","1","0.005699999999999999","263000"
"level_started","433","1494","0.0001","1494","1","0.005699999999999999","263000"
"level_started","435","1483","0.0001","1483","1","0.005600000000000001","263000"
"level_started","440","1459","0.0001","1459","1","0.0055000000000000005","263000"
"level_started","443","1457","0.0001","1457","1","0.0055000000000000005","263000"
"level_started","448","1449","0.0001","1448","1","0.0055000000000000005","263000"
"level_started","439","1448","0.0001","1448","1","0.0055000000000000005","263000"
"level_started","444","1440","0.0001","1440","1","0.0055000000000000005","263000"
"level_started","441","1435","0.0001","1434","1","0.0055000000000000005","263000"
"level_started","453","1429","0.0001","1429","1","0.0054","263000"
"level_started","442","1429","0.0001","1429","1","0.0054","263000"
"level_started","445","1426","0.0001","1426","1","0.0054","263000"
