"EVENT","LEVEL","COUNT","EVENT AMOUNT","AMOUNT %","USERS","EVENTS PER USER"
"A - level_started","189","8779","8779","0.001","8779","1"
"A - level_started","205","7670","7670","0.0009","7669","1"
"A - level_started","634","487","487","0.0001","487","1"
"A - level_started","423","1418","1418","0.0002","1418","1"
"A - level_started","603","539","539","0.0001","539","1"
"A - level_started","323","2806","2806","0.0003","2806","1"
"A - level_started","166","11147","11147","0.0013","11146","1"
"A - level_started","683","424","424","0.0001","424","1"
"A - level_started","25","88604","88604","0.0105","88596","1"
"A - level_started","741","329","329","0","329","1"
"A - level_started","222","6496","6496","0.0008","6496","1"
"A - level_started","164","11015","11015","0.0013","11014","1"
"A - level_started","118","18301","18301","0.0022","18298","1"
"A - level_started","314","3016","3016","0.0004","3016","1"
"A - level_started","111","20055","20055","0.0024","20051","1"
"A - level_started","533","727","727","0.0001","727","1"
"A - level_started","223","6201","6201","0.0007000000000000001","6201","1"
"A - level_started","78","30879","30879","0.0037","30876","1"
"A - level_started","196","8001","8001","0.0009","8001","1"
"A - level_started","616","528","528","0.0001","528","1"
"A - level_started","233","5859","5859","0.0007000000000000001","5859","1"
"A - level_started","228","6064","6064","0.0007000000000000001","6064","1"
"A - level_started","743","317","317","0","317","1"
"A - level_started","659","427","427","0.0001","427","1"
"A - level_started","759","298","298","0","298","1"
"A - level_started","735","323","323","0","323","1"
"A - level_started","395","1641","1641","0.0002","1641","1"
"A - level_started","465","1072","1072","0.0001","1072","1"
"A - level_started","649","443","443","0.0001","443","1"
"A - level_started","77","31267","31267","0.0037","31263","1"
"A - level_started","253","4708","4708","0.0006","4706","1"
"A - level_started","530","740","740","0.0001","740","1"
"A - level_started","568","678","678","0.0001","678","1"
"A - level_started","511","830","830","0.0001","830","1"
"A - level_started","24","92057","92057","0.0109","92053","1"
"A - level_started","541","698","698","0.0001","698","1"
"A - level_started","75","33118","33118","0.0039000000000000003","33112","1"
"A - level_started","195","8360","8360","0.001","8360","1"
"A - level_started","316","2821","2821","0.0003","2820","1"
"A - level_started","270","4005","4005","0.0005","4003","1"
"A - level_started","180","9517","9517","0.0011","9517","1"
"A - level_started","388","1753","1753","0.0002","1753","1"
"A - level_started","363","2107","2107","0.0002","2107","1"
"A - level_started","682","416","416","0","416","1"
